City,Country,TimeZone
New York,United States,America/New_York
London,United Kingdom,Europe/London
Tokyo,Japan,Asia/Tokyo
Paris,France,Europe/Paris
Sydney,Australia,Australia/Sydney
Los Angeles,United States,America/Los_Angeles
Moscow,Russia,Europe/Moscow
Dubai,United Arab Emirates,Asia/Dubai
Singapore,Singapore,Asia/Singapore
Toronto,Canada,America/Toronto
Berlin,Germany,Europe/Berlin
Madrid,Spain,Europe/Madrid
São Paulo,Brazil,America/Sao_Paulo
Seoul,South Korea,Asia/Seoul
Amsterdam,Netherlands,Europe/Amsterdam
Mexico City,Mexico,America/Mexico_City
Mumbai,India,Asia/Kolkata
Istanbul,Turkey,Europe/Istanbul
Hong Kong,China,Asia/Hong_Kong
Bangkok,Thailand,Asia/Bangkok
Johannesburg,South Africa,Africa/Johannesburg
Zurich,Switzerland,Europe/Zurich
Kuala Lumpur,Malaysia,Asia/Kuala_Lumpur
Buenos Aires,Argentina,America/Argentina/Buenos_Aires
Stockholm,Sweden,Europe/Stockholm
Vienna,Austria,Europe/Vienna
Warsaw,Poland,Europe/Warsaw
Athens,Greece,Europe/Athens
Dublin,Ireland,Europe/Dublin
Copenhagen,Denmark,Europe/Copenhagen
Helsinki,Finland,Europe/Helsinki
Prague,Czech Republic,Europe/Prague
Lisbon,Portugal,Europe/Lisbon
Cairo,Egypt,Africa/Cairo
Nairobi,Kenya,Africa/Nairobi
Rio de Janeiro,Brazil,America/Sao_Paulo
Santiago,Chile,America/Santiago
Lima,Peru,America/Lima
Bogotá,Colombia,America/Bogota
Caracas,Venezuela,America/Caracas
Chicago,United States,America/Chicago
Houston,United States,America/Chicago
Philadelphia,United States,America/New_York
Phoenix,United States,America/Phoenix
San Antonio,United States,America/Chicago
San Diego,United States,America/Los_Angeles
Dallas,United States,America/Chicago
San Jose,United States,America/Los_Angeles
Austin,United States,America/Chicago
Jacksonville,United States,America/New_York
San Francisco,United States,America/Los_Angeles
Indianapolis,United States,America/Indiana/Indianapolis
Columbus,United States,America/New_York
Fort Worth,United States,America/Chicago
Charlotte,United States,America/New_York
Seattle,United States,America/Los_Angeles
Denver,United States,America/Denver
El Paso,United States,America/Denver
Washington,United States,America/New_York
Boston,United States,America/New_York
Las Vegas,United States,America/Los_Angeles
Beijing,China,Asia/Shanghai
Shanghai,China,Asia/Shanghai
Guangzhou,China,Asia/Shanghai
Shenzhen,China,Asia/Shanghai
Chongqing,China,Asia/Shanghai
Tianjin,China,Asia/Shanghai
Wuhan,China,Asia/Shanghai
Chengdu,China,Asia/Shanghai
Nanjing,China,Asia/Shanghai
Xi'an,China,Asia/Shanghai
Hangzhou,China,Asia/Shanghai
Shenyang,China,Asia/Shanghai
Suzhou,China,Asia/Shanghai
Harbin,China,Asia/Shanghai
Qingdao,China,Asia/Shanghai
